,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
5922,TELL,669.98M ,1.09B ,-- ,3.92 ,-- ,3.53 ,1.04 ,7.72 ,109.32 ,12/31/2023,3/31/2024,-129.88%,-114.61%,-7.15%,-28.30%,140.66M,0.23,-50.00%,--,-47.38M,-182.7M,-0.3000,--,52.7M,0.06,476.98M,73.89%,0.46,0.81,-9.55M,23.51M,2.47,23.23%,36.78M,55.77M,836.23M,836.23M,790.49M,168.75M,5.6,20.79%,20.18%,167.8M,--,--,0.00,0.00%,0.00%,--,--,1:8,7/13/2015,,
5923,TELO,167.30M ,167.40M ,-- ,-- ,-- ,-- ,55.46 ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,--,"-1,812.50%",--,--,--,--,--,-18.84M,--,--,3.27M,0.11,7.9k,0.26%,7.20,--,-5.06M,--,--,23.23%,41.15k,36.64k,29.61M,29.61M,16.54M,39.84k,0.91,0.24%,0.13%,33.43k,--,--,--,--,0.00%,--,--,--,--,,
5924,TELZ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.34k,26.62k,--,--,--,,,,,,--,--,--,--,--,4/30/2024,--,--,--,,
5925,TENB,4.85B ,4.75B ,-- ,37.04 ,-- ,5.75 ,13.51 ,5.75 ,1.63k ,12/31/2023,3/31/2024,-8.18%,-3.42%,-1.11%,-20.77%,825.83M,7.10,14.40%,--,2.46M,-67.57M,-0.58,--,510.77M,4.3,413.58M,115.22%,1.23,3.02,161.44M,171.31M,0.85,23.23%,799.92k,840.8k,118.87M,118.87M,116.84M,3.54M,4.5,3.86%,2.98%,4.69M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5926,TENK,75.51M ,77.00M ,42.04 ,-- ,-- ,-- ,1.65 ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,--,--,--,--,--,--,--,2.3M,0.27,-19.90%,33.33k,0,2.06M,--,0.03,-0.37,-624.2k,--,--,23.23%,7.94k,38.05k,6.65M,6.65M,4.25M,512,0.24,0.01%,0.01%,148,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5927,TENKR,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,2.3M,--,-19.90%,33.33k,0,2.06M,--,0.03,-0.01,-624.2k,--,--,23.23%,--,--,--,--,4.25M,,,,,,--,--,0.00,0.00%,--,--,--,--,--,,
5928,TENX,6.27M ,-5.87M ,-- ,0.30 ,-- ,-- ,0.50 ,-- ,-0.11 ,12/31/2023,3/31/2024,0.00%,0.00%,-44.58%,-75.66%,--,--,--,--,-10.59M,-10.1M,-22.0600,--,12.55M,6.41,413.17k,3.32%,7.12,6.35,-9.34M,-6.31M,2.20,23.23%,34.85k,20.26k,1.96M,1.96M,1.84M,9.79k,0.29,0.50%,0.50%,35.2k,--,--,0.00,0.00%,0.00%,2/26/2018,--,1:80,1/3/2024,,
5929,TEO,3.33B ,5.65B ,9.39 ,-- ,-- ,1.51 ,0.74 ,2.67 ,5.29 ,12/31/2023,3/31/2024,16.07%,-3.65%,-1.50%,12.61%,1.91T,"4,433.80",-17.90%,--,460.05B,306.86B,0.79,524.40%,465.7B,216.23,2.56T,64.42%,0.50,"1,804.32",582.81B,345.16B,0.89,23.23%,237.22k,313.43k,430.74M,430.74M,--,1.07M,5.31,--,0.25%,1.12M,0.21,2.32%,0.00,0.00%,6.97%,5/25/2023,5/19/2023,2:1,8/28/1997,,
5930,TER,23.04B ,22.37B ,56.12 ,46.73 ,2.03 ,9.07 ,9.01 ,8.42 ,36.31 ,12/31/2023,3/31/2024,16.15%,13.67%,9.27%,17.15%,2.66B,17.31,-2.90%,--,615.17M,429.42M,2.63,-23.10%,748.7M,4.8,82.95M,3.24%,3.73,16.64,573.17M,333.56M,1.51,23.23%,2.19M,1.88M,156.11M,156.11M,155.42M,4.48M,1.71,3.25%,2.87%,5.23M,0.48,0.33%,0.45,0.30%,17.11%,6/14/2024,5/21/2024,2:1,9/1/1999,,
5931,TERN,515.47M ,275.24M ,-- ,-- ,-- ,302.64 ,2.18 ,337.47 ,-5.80 ,12/31/2023,3/31/2024,0.00%,0.00%,-23.69%,-34.73%,--,--,--,--,-103.55M,-91.06M,-1.26,--,240.65M,3.72,427k,0.18%,27.85,3.66,-75.81M,-44.62M,-0.42,23.23%,942.48k,1.56M,64.68M,64.68M,23.59M,2.23M,2.94,3.92%,3.45%,4.4M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5932,TETE,76.23M ,78.76M ,597.00 ,-- ,-- ,-- ,2.84 ,-- ,-76.22 ,11/30/2023,2/29/2024,0.00%,0.00%,-3.26%,--,--,--,--,--,--,-83.39k,0.02,-54.40%,1.12k,0,2.54M,--,0.00,-1.22,-686.64k,-25.47k,0.01,23.23%,22.91k,12.84k,6.38M,6.38M,2.39M,1.14k,0.05,0.04%,0.02%,5.81k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5933,TETEU,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,11/30/2023,2/29/2024,0.00%,0.00%,-3.26%,--,--,--,--,--,--,-83.39k,--,-54.40%,1.12k,0,2.54M,--,0.00,-1.22,-686.64k,-25.47k,0.01,23.23%,11,--,--,--,2.39M,281,45.25,--,--,281,--,--,0.00,0.00%,--,--,--,--,--,,
5934,TETEW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,-3.26%,--,--,--,--,--,--,-83.39k,--,-54.40%,1.12k,0,2.54M,--,0.00,-0.00,-686.64k,-25.47k,0.01,23.23%,--,--,--,--,2.39M,,,,,,--,--,0.00,0.00%,--,--,--,--,--,,
5935,TEVA,19.56B ,36.51B ,872.00 ,9.18 ,-- ,1.22 ,2.71 ,2.28 ,27.64 ,12/31/2023,3/31/2024,-2.99%,17.28%,4.84%,-9.67%,16B,14.28,4.30%,--,4.46B,-478M,-0.42,--,2.99B,2.64,19.94B,264.33%,0.89,6.43,1.39B,3.57B,0.91,23.23%,9.64M,8.66M,1.13B,1.14B,1.13B,12.22M,1.1,--,1.15%,11.66M,--,--,0.00,0.00%,0.00%,12/12/2017,11/27/2017,2:1,7/1/2004,,
5936,TEX,3.69B ,4.04B ,7.24 ,7.73 ,1.64 ,0.72 ,2.13 ,0.78 ,5.73 ,12/31/2023,3/31/2024,9.87%,12.15%,11.37%,34.05%,5.21B,77.36,4.60%,--,699.7M,515.3M,7.56,-3.60%,364.9M,5.42,724.1M,41.81%,2.16,26.00,416.3M,188.89M,1.62,23.23%,739.43k,761.39k,67.3M,68.23M,65.57M,3.38M,3.76,6.91%,5.03%,2.24M,0.68,1.24%,0.66,1.21%,8.73%,6/20/2024,6/6/2024,2:1,7/17/2006,,
5937,TFC,48.65B ,-- ,-- ,10.86 ,2.71 ,2.12 ,0.93 ,5.20 ,-- ,12/31/2023,3/31/2024,-6.76%,38.35%,-0.24%,-2.18%,20.81B,15.61,-9.80%,--,--,-1.73B,-1.31,-20.90%,43B,32.13,69.75B,--,--,38.97,7.52B,--,1.05,23.23%,7.72M,7.1M,1.34B,1.34B,1.33B,13.26M,1.66,0.99%,0.99%,13.97M,2.08,5.72%,2.08,5.72%,52.26%,6/3/2024,5/9/2024,2:1,8/4/1998,,
5938,TFFP,5.92M ,2.80M ,-- ,-- ,-- ,25.50 ,1.12 ,18.44 ,-0.35 ,12/31/2023,3/31/2024,0.00%,"-2,848.82%",-93.98%,-182.42%,885.72k,0.44,295.30%,--,-20.08M,-19.93M,-9.3800,--,3.21M,1.04,95.16k,1.79%,1.26,2.11,-14.82M,-7.26M,1.38,23.23%,46.86k,35.66k,3.1M,3.1M,2.68M,128.03k,3.22,4.19%,4.13%,69.73k,--,--,0.00,0.00%,0.00%,--,--,1:25,12/19/2023,,
5939,TFII,11.73B ,13.77B ,24.65 ,20.41 ,-- ,1.59 ,4.53 ,1.83 ,11.54 ,12/31/2023,3/31/2024,6.44%,7.89%,7.32%,18.98%,7.54B,88.33,1.10%,--,1.04B,485.81M,5.62,-17.00%,902.37M,10.67,2.94B,113.80%,1.66,30.60,982.39M,537.76M,1.42,23.23%,284.08k,332.78k,84.56M,84.68M,79.63M,420.52k,1.64,--,0.50%,516.34k,1.6,1.15%,1.50,1.08%,26.69%,4/15/2024,3/27/2024,--,--,,
5940,TFIN,1.71B ,-- ,55.64 ,-- ,-- ,4.17 ,2.07 ,4.68 ,-- ,12/31/2023,3/31/2024,8.57%,9.79%,0.61%,4.03%,399.4M,17.24,-6.50%,--,--,31.02M,1.32,-62.20%,417.03M,17.97,180.7M,--,--,35.64,26.2M,--,1.19,23.23%,175.37k,136.02k,23.33M,23.33M,20.67M,1.83M,7.95,9.84%,7.85%,1.68M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5941,TFINP,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,3/31/2024,8.57%,9.79%,0.61%,4.03%,399.4M,17.24,-6.50%,--,--,31.02M,--,-62.20%,417.03M,17.97,180.7M,--,--,35.64,26.2M,--,1.19,23.23%,1.84k,2.97k,--,--,20.67M,384,0.26,0.02%,--,155,1.78,8.08%,0.00,0.00%,--,3/30/2024,6/14/2024,--,--,,
5942,TFPM,3.03B ,3.06B ,83.33 ,32.05 ,-- ,14.32 ,1.66 ,14.47 ,66.54 ,12/31/2023,3/31/2024,17.59%,35.62%,1.86%,2.04%,211.28M,1.05,14.40%,--,139.62M,37.17M,0.18,5.40%,36.51M,0.18,62.02M,3.42%,4.40,9.02,154.14M,84.95M,-0.26,23.23%,232.48k,262.69k,201.16M,202.1M,60.25M,782.29k,3.39,--,0.39%,611.36k,0.21,1.40%,0.21,1.39%,115.28%,6/14/2024,5/31/2024,--,--,,
5943,TFSA,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,679,1.67k,--,--,--,,,,,,--,--,--,--,--,7/1/2024,--,--,--,,
5944,TFSL,3.47B ,-- ,44.14 ,-- ,-- ,11.39 ,1.82 ,27.93 ,-- ,9/30/2023,3/31/2024,25.84%,38.30%,0.47%,4.20%,304.09M,1.10,3.30%,--,--,77.03M,0.28,30.20%,594.69M,2.14,4.98B,--,--,6.86,98.13M,--,0.71,23.23%,267.25k,306.99k,280.71M,280.71M,49.5M,2.58M,9.76,4.96%,0.92%,2.92M,1.13,9.14%,1.13,9.14%,403.57%,6/25/2024,6/11/2024,--,--,,
5945,TFX,9.86B ,11.48B ,33.43 ,15.38 ,2.43 ,3.30 ,2.19 ,3.83 ,17.71 ,12/31/2023,3/31/2024,9.82%,-0.17%,3.31%,6.87%,3B,63.85,3.80%,--,629.05M,296.02M,6.26,-80.10%,256.3M,5.44,1.9B,42.09%,2.51,95.61,537.56M,283.59M,1.16,23.23%,432.62k,519.4k,47.1M,47.1M,46.95M,865.24k,2.12,2.92%,1.84%,712.16k,1.36,0.65%,1.36,0.65%,21.73%,6/14/2024,5/14/2024,2:1,6/17/1997,,
5946,TG,171.73M ,334.76M ,7.30 ,-- ,-- ,0.25 ,1.10 ,0.49 ,5.81 ,12/31/2023,3/31/2024,-14.74%,5.80%,-0.83%,-56.70%,689.44M,20.14,-8.10%,--,21.11M,-101.61M,-2.97,--,3.49M,0.1,166.52M,106.19%,0.73,4.64,25.38M,34.31M,0.86,23.23%,138.78k,86.55k,34.48M,34.48M,25.84M,150.09k,1.41,0.67%,0.44%,165.41k,--,--,0.13,2.61%,159.38%,7/3/2023,6/15/2023,3:1,7/2/1998,,
5947,TGAA,106.00M ,108.62M ,94.92 ,-- ,-- ,-- ,2.91 ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,-1.16%,--,--,--,--,--,--,1.34M,0.12,--,10.04k,0,2.63M,--,0.02,-0.83,-1.34M,-399.75k,0.02,23.23%,7.02k,21.51k,9.28M,9.31M,3.9M,361,0.09,0.01%,0.00%,2.59k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5948,TGAAW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,-1.16%,--,--,--,--,--,--,1.34M,--,--,10.04k,0,2.63M,--,0.02,0.00,-1.34M,-399.75k,0.02,23.23%,--,--,--,--,3.9M,,,,,,--,--,0.00,0.00%,--,--,--,--,--,,
5949,TGAN,304.12M ,298.54M ,-- ,-- ,-- ,15.45 ,16.66 ,15.92 ,-- ,3/31/2023,12/31/2023,-177.91%,-186.57%,-46.29%,-143.72%,18.75M,0.31,3.90%,--,-29.17M,-41.7M,-0.7000,--,7.95M,0.13,2.37M,12.99%,1.69,0.29,-22.29M,-7.59M,0.43,23.23%,167.59k,121.66k,63.36M,63.36M,25.64M,932.17k,4.34,2.43%,1.47%,815.01k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5950,TGB,658.40M ,1.02B ,13.52 ,15.31 ,-- ,1.63 ,1.95 ,2.51 ,6.03 ,12/31/2023,3/31/2024,12.19%,6.61%,4.36%,16.43%,556.4M,1.92,27.20%,--,163.75M,68.32M,0.1700,-44.10%,159.06M,0.55,653.33M,140.46%,1.97,1.60,182.67M,-83.07M,2.00,23.23%,3.62M,3.68M,291.45M,292.45M,284.2M,1.82M,0.65,--,0.63%,1.87M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5951,TGI,1.12B ,1.83B ,-- ,-- ,0.20 ,0.91 ,-- ,1.53 ,14.16 ,3/31/2024,3/31/2024,42.98%,15.53%,4.24%,--,1.19B,16.08,10.20%,--,144.97M,-34.47M,-0.46,--,392.51M,5.1,1.09B,--,2.64,-1.36,9.44M,137.27M,2.53,23.23%,721.54k,771.1k,77.03M,77.03M,69.5M,6.2M,10.68,11.13%,8.05%,6.46M,--,--,0.00,0.00%,0.00%,3/16/2020,2/28/2020,2:1,7/15/2011,,
5952,TGL,4.50M ,4.30M ,-- ,-- ,-- ,0.03 ,1.47 ,0.12 ,-6.18 ,6/30/2023,3/31/2024,-22.04%,-85.87%,-89.80%,-289.94%,37.03M,114.47,-91.20%,--,-6.96M,-8.16M,-63.1200,--,424.36k,0.32,101.41k,3.30%,1.12,2.35,-6.69M,-3.27M,--,23.23%,648.88k,77.36k,1.3M,1.3M,702.1k,63.03k,0.46,6.96%,4.83%,17.44k,--,--,0.00,0.00%,0.00%,--,--,1:70,2/27/2024,,
5953,TGLS,2.12B ,2.14B ,13.02 ,7.54 ,0.42 ,2.60 ,3.70 ,2.60 ,8.19 ,12/31/2023,3/31/2024,19.97%,21.30%,16.11%,33.85%,823.25M,17.39,-4.90%,--,253.34M,164.38M,3.47,-38.40%,146.27M,3.11,159.1M,27.73%,2.33,12.21,129.21M,39.44M,1.79,23.23%,391.7k,480.98k,47M,47M,21.97M,2.24M,5.82,10.15%,4.77%,1.78M,0.44,0.97%,0.38,0.84%,10.95%,4/30/2024,6/28/2024,--,--,,
5954,TGNA,2.24B ,4.95B ,4.58 ,4.39 ,0.96 ,0.90 ,0.80 ,1.72 ,4.92 ,12/31/2023,3/31/2024,19.48%,19.65%,5.05%,18.76%,2.88B,14.73,-3.50%,--,698.42M,560.19M,2.88,81.70%,430.76M,2.54,3.14B,111.63%,2.53,16.33,517.24M,479.12M,0.52,23.23%,1.88M,1.77M,169.6M,169.6M,167.49M,10.71M,5.54,9.18%,6.31%,7.52M,0.5,3.79%,0.44,3.31%,15.15%,7/1/2024,6/7/2024,15625:10000,6/1/2017,,
5955,TGS,2.86B ,2.91B ,44.84 ,-- ,-- ,5.66 ,1.90 ,5.77 ,14.79 ,12/31/2023,3/31/2024,12.40%,34.21%,6.00%,6.83%,463.55B,"3,078.99",6.00%,--,185.54B,57.49B,0.42,154.70%,452.55B,601.19,503.01B,37.17%,3.01,"1,797.81",139.68B,-50.06B,0.75,23.23%,290.76k,240.34k,150.55M,187.47M,156.86M,325.48k,1.28,--,0.22%,663.74k,--,--,0.00,0.00%,0.00%,4/30/2019,4/18/2019,--,--,,
5956,TGT,66.93B ,82.82B ,16.22 ,15.55 ,2.23 ,0.63 ,4.84 ,0.78 ,9.60 ,2/3/2024,5/4/2024,3.87%,5.40%,6.84%,32.46%,106.62B,230.87,-3.10%,--,8.72B,4.13B,8.93,-0.80%,3.6B,7.79,19.98B,144.37%,0.86,29.92,8.46B,3.16B,1.20,23.23%,3.76M,4.23M,462.64M,462.64M,461.25M,6.76M,2.18,1.46%,1.46%,7.63M,4.48,3.10%,4.38,3.03%,49.10%,6/10/2024,8/21/2024,2:1,7/20/2000,,
5957,TGTX,2.59B ,2.49B ,55.87 ,69.93 ,-- ,8.69 ,16.18 ,8.61 ,46.10 ,12/31/2023,3/31/2024,14.24%,-14.60%,10.59%,43.93%,289.33M,2.02,713.50%,--,48.53M,41.2M,0.30,--,209.78M,1.47,111.99M,69.95%,3.62,1.12,20.28M,-2.9M,2.30,23.23%,3.03M,2.12M,154.54M,154.54M,133.25M,34.3M,8.05,24.54%,22.19%,35.71M,--,--,0.00,0.00%,0.00%,--,--,100:5625,4/30/2012,,
5958,TH,777.15M ,851.58M ,5.62 ,11.92 ,0.79 ,1.55 ,2.07 ,1.63 ,2.86 ,12/31/2023,3/31/2024,28.76%,28.53%,20.03%,48.69%,522.46M,5.16,-27.80%,--,295.62M,150.26M,1.38,-53.50%,124.3M,1.24,198.74M,52.92%,2.79,3.75,192.86M,69.67M,2.10,23.23%,707.95k,1.66M,100.28M,100.28M,28.48M,1.2M,2.81,6.71%,1.20%,1.04M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5959,THAR,2.63M ,-383.95k ,-- ,-- ,-- ,-- ,0.37 ,-- ,-6.32 ,12/31/2023,3/31/2024,0.00%,0.00%,-83.47%,-173.40%,--,--,--,--,--,-8.89M,-22.3500,--,8.43M,10.72,--,--,4.84,8.97,-6.66M,-3.67M,1.59,23.23%,31.35k,74.27k,786.03k,786.03k,771.75k,1.33k,0.13,0.17%,0.17%,6.89k,--,--,0.00,0.00%,0.00%,--,--,1:15,5/28/2024,,
5960,THC,13.62B ,24.02B ,5.41 ,17.76 ,1.81 ,0.69 ,3.95 ,1.15 ,3.95 ,12/31/2023,3/31/2024,12.54%,15.37%,6.61%,53.69%,20.89B,206.93,6.80%,--,3.82B,2.62B,25.78,"1,404.20%",2.48B,25.4,12.88B,167.89%,1.44,35.35,2.51B,2.49B,2.12,23.23%,1.24M,1.32M,97.68M,99.11M,90.12M,4.67M,2.99,6.23%,4.78%,3.81M,--,--,0.00,0.00%,0.00%,--,3/13/2000,1:4,10/11/2012,,
5961,THCH,125.76M ,329.86M ,-- ,-- ,-- ,0.57 ,16.78 ,1.48 ,-1.13 ,12/31/2023,3/31/2024,-53.30%,-31.26%,-14.75%,--,1.59B,9.95,3.10%,--,-385.49M,-845.41M,-0.7500,--,218.18M,1.36,1.67B,--,0.31,-3.57,-137.52M,-261.11M,0.35,23.23%,407.98k,279.6k,157.95M,173.76M,20.47M,279.67k,0.35,0.50%,0.18%,338.2k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5962,THCP,106.88M ,107.81M ,85.82 ,-- ,-- ,-- ,4.77 ,-- ,-207.88 ,12/31/2023,3/31/2024,0.00%,0.00%,-0.56%,--,--,--,--,--,--,2.08M,0.12,--,650.2k,0.06,1.58M,--,0.10,-1.44,-2.19M,2.06M,0.01,23.23%,20.22k,8.52k,10.08M,10.08M,2.52M,5.01k,0.14,0.22%,0.05%,3.67k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5963,THCPW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,-0.56%,--,--,--,--,--,--,2.08M,--,--,650.2k,0.06,1.58M,--,0.10,-0.00,-2.19M,2.06M,0.01,23.23%,--,--,--,--,2.52M,,,,,,--,--,--,--,--,--,--,--,--,,
5964,THFF,421.88M ,-- ,7.63 ,7.85 ,-- ,2.07 ,0.81 ,2.35 ,-- ,12/31/2023,3/31/2024,28.19%,29.63%,1.14%,10.84%,197.31M,16.62,-10.30%,--,--,55.62M,4.68,-31.60%,69.23M,5.86,153.12M,--,--,44.08,74.75M,--,0.50,23.23%,41.93k,43.32k,11.81M,11.89M,11.33M,67.76k,1.86,0.67%,0.57%,64.5k,0.9,2.52%,1.44,4.04%,30.77%,4/15/2024,3/28/2024,2:1,10/16/2003,,
5965,THG,4.42B ,4.94B ,27.65 ,11.59 ,-- ,0.74 ,1.75 ,0.81 ,-- ,12/31/2023,3/31/2024,2.67%,9.92%,1.04%,6.56%,6.1B,170.65,7.40%,--,242.9M,161M,4.45,--,264.6M,7.36,783.4M,31.05%,0.37,70.27,402.3M,359.34M,0.70,23.23%,165.63k,167.87k,35.94M,35.94M,35.53M,583.24k,3.42,1.82%,1.62%,397.81k,3.4,2.76%,3.32,2.72%,74.61%,6/28/2024,6/14/2024,--,--,,
5966,THM,106.23M ,102.64M ,-- ,-- ,-- ,-- ,1.78 ,-- ,-27.90 ,12/31/2023,3/31/2024,0.00%,0.00%,-3.55%,-5.80%,--,--,--,--,--,-3.44M,-0.0200,--,3.59M,0.02,--,--,13.35,0.29,-3.03M,-1.63M,1.21,23.23%,113.88k,88.08k,199.69M,202.54M,106.85M,144.84k,1.75,0.18%,0.07%,242.38k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5967,THMO,3.33M ,9.08M ,-- ,2.29 ,-- ,0.13 ,3.41 ,0.94 ,-2.53 ,12/31/2023,3/31/2024,-153.43%,-20.35%,-25.50%,-801.94%,9.61M,3.14,6.40%,--,-4.87M,-14.74M,-3.9800,--,1.18M,0.15,7.57M,--,0.52,0.12,-3.61M,-67.88k,2.39,23.23%,81.66k,383.81k,7.95M,7.95M,3.51M,21.34k,1.44,0.30%,0.27%,52.98k,--,--,0.00,0.00%,0.00%,6/5/2019,--,1:45,12/22/2022,,
5968,THO,5.02B ,5.90B ,19.12 ,12.35 ,0.76 ,0.50 ,1.25 ,0.58 ,8.14 ,7/31/2023,4/30/2024,2.59%,5.82%,3.71%,6.71%,10.25B,192.22,-4.40%,--,716.01M,265.58M,4.94,-5.10%,371.82M,6.99,1.29B,32.22%,1.65,75.25,715.04M,617.21M,1.73,23.23%,483.51k,660.85k,53.2M,53.2M,48.04M,3.44M,7.9,6.76%,6.44%,3.63M,1.92,2.03%,1.89,2.00%,38.26%,4/23/2024,4/8/2024,2:1,1/27/2004,,
5969,THQ,836.22M ,-- ,7.33 ,-- ,-- ,7.20 ,0.91 ,9.12 ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,--,2.76,--,--,--,--,--,--,--,--,--,--,23.23%,134.57k,97.58k,41.36M,41.36M,--,,,,,,1.35,8.43%,0.00,0.00%,--,1/31/2019,10/19/2023,--,--,,
5970,THR,1.03B ,1.17B ,20.26 ,15.53 ,-- ,2.11 ,2.18 ,2.37 ,12.29 ,3/31/2024,3/31/2024,10.43%,13.41%,6.87%,11.54%,494.63M,14.69,4.20%,--,96.49M,51.59M,1.51,30.90%,48.63M,1.44,187.49M,39.48%,2.51,14.08,65.95M,52.17M,1.13,23.23%,190.66k,184.36k,33.77M,33.77M,33.03M,418.44k,2.67,1.27%,1.24%,470.5k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5971,THRD,566.74M ,307.69M ,13.41 ,-- ,-- ,-- ,2.15 ,-- ,4.25 ,12/31/2023,3/31/2024,0.00%,0.00%,-9.62%,-10.84%,--,--,--,--,-43.21M,-29.59M,-0.75,--,262.83M,6.42,3.77M,1.43%,66.10,6.55,-20.04M,-18.3M,--,23.23%,138.11k,78.4k,40.95M,40.95M,9.16M,1.06M,6.94,5.77%,2.60%,806.21k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5972,THRM,1.61B ,1.74B ,35.10 ,17.99 ,-- ,1.14 ,2.49 ,1.19 ,13.74 ,12/31/2023,3/31/2024,3.23%,7.10%,5.36%,7.11%,1.46B,45.15,-2.10%,--,159.1M,47.16M,1.45,85.70%,127.47M,4.03,253.26M,39.14%,2.10,20.46,83.83M,77.87M,1.48,23.23%,157.61k,188.64k,31.64M,31.64M,29.41M,1.11M,7.62,4.93%,3.50%,1.07M,--,--,0.00,0.00%,0.00%,--,--,1:5,1/28/1999,,
5973,THRY,680.79M ,1.01B ,14.95 ,-- ,-- ,0.73 ,4.07 ,1.12 ,5.04 ,12/31/2023,3/31/2024,-28.75%,12.65%,5.18%,-92.57%,905.03M,25.96,-4.90%,--,113.42M,-260.18M,-7.50,-9.60%,14.39M,0.4,347.57M,208.04%,1.15,4.66,121.35M,167.35M,0.97,23.23%,179.25k,202.2k,35.83M,35.83M,29.68M,2.92M,14.81,13.20%,8.14%,3.1M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5974,THS,1.86B ,3.22B ,75.17 ,34.01 ,1.18 ,0.58 ,1.16 ,0.95 ,12.55 ,12/31/2023,3/31/2024,0.77%,0.67%,2.23%,1.62%,3.4B,61.54,-3.90%,--,289.8M,26.9M,0.47,--,209.3M,3.98,1.55B,96.53%,1.52,30.28,135.8M,-4.49M,0.25,23.23%,478.62k,359.84k,52.6M,52.78M,47.19M,2.19M,4.31,6.86%,4.17%,2.46M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5975,THTX,57.30M ,77.98M ,-- ,55.87 ,-- ,0.53 ,-- ,1.00 ,-- ,11/30/2023,2/29/2024,-23.04%,-13.82%,-4.55%,--,78.1M,2.39,-18.40%,--,-2.94M,-18M,-0.5800,--,38.45M,0.84,59.14M,--,1.15,-0.54,-4.05M,-1.96M,1.82,23.23%,21.27k,13.32k,45.98M,47.98M,27.25M,20.08k,0.99,0.04%,0.04%,24.08k,--,--,0.00,0.00%,0.00%,--,--,1:4,7/31/2023,,
5976,THW,502.92M ,-- ,10.19 ,-- ,-- ,10.01 ,1.05 ,12.40 ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,--,1.29,--,--,--,--,--,--,--,--,--,--,23.23%,91.84k,89.97k,38.24M,38.54M,--,,,,,,1.4,12.88%,0.00,0.00%,--,1/31/2019,10/19/2023,--,--,,
